Pair=USDJPY;Period=H1;Days=720;Shift=1;Bars=17280;Time=20171231_233725
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime
1;112.679;112.706;112.646;112.672;44.91202147258796;48.05020210044262;112.782302005599;112.7065760027994;112.6308499999999;112.5551239972003;112.4793979944007;-0.007000000000005002;0.06000000000000227;2017.12.29 23:00;2017.12.30 06:00
2;112.649;112.682;112.623;112.677;45.18631500871208;41.53198462818633;112.7938591656172;112.7142795828085;112.6346999999999;112.5551204171912;112.4755408343826;0.0280000000000058;0.0589999999999975;2017.12.29 22:00;2017.12.30 05:00
3;112.634;112.659;112.605;112.647;43.20932319726771;41.61045908099234;112.8400533345896;112.7427766672947;112.6454999999999;112.548223332705;112.4509466654101;0.01300000000000523;0.05400000000000205;2017.12.29 21:00;2017.12.30 04:00
4;112.57;112.657;112.553;112.633;42.28648884272543;41.95024331294055;112.8761802910846;112.7665901455422;112.6569999999999;112.5474098544575;112.4378197089151;0.06300000000000239;0.1039999999999992;2017.12.29 20:00;2017.12.30 03:00
5;112.683;112.693;112.575;112.577;38.4881929720209;49.83816419634977;112.9090951334785;112.7892725667392;112.6694499999999;112.5496274332605;112.4298048665212;-0.1060000000000088;0.117999999999995;2017.12.29 19:00;2017.12.30 02:00
6;112.628;112.719;112.565;112.684;43.70987217534496;50.78618998206269;112.932201446941;112.8078007234704;112.6833999999998;112.5589992765293;112.4345985530587;0.05599999999999739;0.1539999999999964;2017.12.29 18:00;2017.12.30 01:00
7;112.502;112.668;112.479;112.628;39.63820102229359;48.12827573898859;112.9591009803902;112.826500490195;112.6938999999998;112.5612995098047;112.4286990196095;0.1260000000000048;0.1890000000000072;2017.12.29 17:00;2017.12.30 00:00
8;112.558;112.574;112.501;112.501;28.49481139042656;45.2637931182274;112.978669514959;112.8421347574794;112.7055999999998;112.5690652425203;112.4325304850407;-0.05700000000000216;0.07299999999999329;2017.12.29 16:00;2017.12.29 23:00
9;112.552;112.584;112.531;112.557;30.88308291226571;49.68971110108873;112.987050829697;112.8552254148484;112.7233999999998;112.5915745851512;112.4597491703027;0.004999999999995453;0.05299999999999727;2017.12.29 15:00;2017.12.29 22:00
10;112.514;112.572;112.472;112.553;30.48773914446735;49.06037789558783;112.9965545273667;112.8674772636833;112.7383999999998;112.6093227363164;112.480245472633;0.03900000000000148;0.1000000000000085;2017.12.29 14:00;2017.12.29 21:00
